timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2026-04-11,48.04,48.09,47.575,47.65,45.7406449789956,2637846,0.0,1.0
2026-04-12,47.39,47.45,46.75,46.76,44.8863076436062,3179445,0.0,1.0
2026-04-15,47.03,47.13,46.64,46.71,44.8383111640899,2546846,0.0,1.0
2026-04-16,46.64,46.705,46.47,46.47,44.6079280624118,2911913,0.0,1.0
2026-04-17,46.93,47.0473,46.455,46.69,44.8191125722834,4907111,0.0,1.0
2026-04-18,46.98,47.14,46.61,46.85,44.9727013067354,5673206,0.0,1.0
2026-04-19,47.23,47.39,47.015,47.31,45.414268918285,4973014,0.0,1.0
2026-04-22,47.63,48.08,47.5513,48.06,46.1342161110289,3092624,0.0,1.0
2026-04-23,47.81,48.185,47.8,47.98,46.0574217438029,2724430,0.0,1.0
2026-04-24,48.19,48.22,47.865,48.07,46.1438154069322,2963786,0.0,1.0
2026-04-25,50.57,51.12,50.28,50.92,48.879614739359,6764456,0.0,1.0
2026-04-26,51.22,51.53,51.1519,51.24,49.186792208263,4278463,0.0,1.0
2026-04-29,51.58,51.61,51.34,51.5,49.4363739017476,3344087,0.0,1.0
2026-04-30,51.74,51.96,51.61,51.85,49.7723492583614,3005636,0.0,1.0
2026-05-01,51.61,52.12,51.45,51.87,49.7915478501679,2909757,0.0,1.0
2026-05-02,52.03,52.21,51.92,52.02,49.9355372887167,2850950,0.0,1.0
2026-05-03,52.58,52.64,52.0725,52.13,50.0411295436525,4413133,0.0,1.0
2026-05-06,52.2,52.27,51.9,52.15,50.060328135459,2388360,0.0,1.0
2026-05-07,52.67,52.91,52.49,52.66,50.5498922265248,3589300,0.0,1.0
2026-05-08,52.84,52.94,52.56,52.69,50.5786901142346,3191942,0.0,1.0
2026-05-09,53.05,53.43,53.04,53.42,51.279438715172,4055281,0.0,1.0
2026-05-10,53.485,53.65,53.385,53.51,51.3658323783012,3061035,0.0,1.0
2026-05-13,54.16,54.275,53.86,53.93,51.7690028062378,2908480,0.0,1.0
2026-05-14,53.96,54.1189,53.805,54.04,51.8745950611736,1807747,0.0,1.0
2026-05-15,54.18,54.54,54.115,54.48,52.2969640809167,1893704,0.0,1.0
2026-05-16,53.99,54.2,53.86,54.07,52.3407368702355,3097794,0.4556,1.0
2026-05-17,54.63,54.86,54.49,54.75,52.9989891556389,2610550,0.0,1.0
2026-05-20,54.43,54.5,54.13,54.13,52.3988179542417,1393892,0.0,1.0
2026-05-21,54.32,54.49,54.205,54.28,52.5440206642571,2336624,0.0,1.0
2026-05-22,54.19,54.405,54.09,54.21,52.4762593995832,1528067,0.0,1.0
2026-05-23,54.98,54.98,54.295,54.37,52.6311422902664,2296956,0.0,1.0
2026-05-24,54.57,54.92,54.49,54.56,52.8150657229526,3153122,0.0,1.0
2026-05-28,54.42,54.42,54.03,54.13,52.3988179542417,2190076,0.0,1.0
2026-05-29,53.82,53.88,53.5,53.53,51.8180071141799,2422296,0.0,1.0
2026-05-30,54.08,54.28,54.015,54.05,52.3213765089001,3210385,0.0,1.0
2026-05-31,54.21,54.78,54.145,54.75,52.9989891556389,2394173,0.0,1.0
2026-06-03,54.86,55.26,54.8,55.26,53.4926783696914,3352898,0.0,1.0
2026-06-04,55.9,55.92,55.57,55.78,53.9960477644116,3589353,0.0,1.0
2026-06-05,56.1,56.11,55.8,56.09,54.2961333651102,2574618,0.0,1.0
2026-06-06,55.85,56.185,55.84,56.04,54.2477324617717,1670507,0.0,1.0
2026-06-07,56.02,56.07,55.58,55.61,53.8314846930608,1903201,0.0,1.0
2026-06-10,55.66,55.69,55.34,55.59,53.8121243317254,1839494,0.0,1.0
2026-06-11,55.21,55.6,55.06,55.59,53.8121243317254,1848073,0.0,1.0
2026-06-12,56.39,56.455,55.98,56.06,54.2670928231071,3514718,0.0,1.0
2026-06-13,56.12,56.325,56.01,56.29,54.4897369784641,2723008,0.0,1.0
2026-06-14,56.16,56.38,56.02,56.22,54.4219757137903,3479671,0.0,1.0
2026-06-17,55.98,56.4699,55.925,56.38,54.5768586044734,1775607,0.0,1.0
2026-06-18,56.26,56.43,56.12,56.17,54.3735748104518,1859484,0.0,1.0
2026-06-20,55.98,56.245,55.93,56.15,54.3542144491164,2472192,0.0,1.0
2026-06-21,56.07,56.24,55.805,56.11,54.3154937264456,3175373,0.0,1.0
2026-06-24,56.11,56.36,56.11,56.3,54.4994171591318,1466589,0.0,1.0
2026-06-25,56.31,56.365,55.96,56.13,54.334854087781,1621359,0.0,1.0
